match_id, team1, team2, prob_team1, prob_team2, prob_draw
47, rr, gt, 0.22, 0.76, 0.02
48, dc, kkr, 0.68, 0.30, 0.02
49, csk, pbks, 0.28, 0.70, 0.02
50, rr, mi, 0.28, 0.70, 0.02
51, gt, srh, 0.68, 0.30, 0.02
52, rcb, csk, 0.74, 0.25, 0.01
53, kkr, rr, 0.59, 0.39, 0.02
54, pbks, lsg, 0.49, 0.49, 0.02
55, srh, dc, 0.30, 0.68, 0.02
56, mi, gt, 0.42, 0.56, 0.02
57, kkr, csk, 0.59, 0.39, 0.02
58, pbks, dc, 0.42, 0.56, 0.02
59, lsg, rcb, 0.45, 0.54, 0.01
60, srh, kkr, 0.49, 0.49, 0.02
61, pbks, mi, 0.49, 0.49, 0.02
62, dc, gt, 0.49, 0.49, 0.02
63, csk, rr, 0.49, 0.49, 0.02
64, rcb, srh, 0.65, 0.33, 0.02
65, gt, lsg, 0.56, 0.42, 0.02
66, mi, dc, 0.42, 0.56, 0.02
67, rr, pbks, 0.28, 0.70, 0.02
68, rcb, kkr, 0.65, 0.33, 0.02
69, gt, csk, 0.76, 0.22, 0.02
70, lsg, srh, 0.61, 0.37, 0.02
